GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payments-service,com.example.shop.payments.service,Status,0,21,0,0,0,2,0,1,0,1
payments-service,com.example.shop.payments.service,MessageProcessor,6,86,1,3,2,19,1,3,0,2
payments-service,com.example.shop.payments.service,AccountServiceImp,45,89,0,4,4,24,5,5,5,3
payments-service,com.example.shop.payments.service,OutboxPublisher,7,52,0,2,2,14,0,4,0,3
payments-service,com.example.shop.payments.service,InboxListener,41,0,0,0,14,0,3,0,3,0
payments-service,com.example.shop.payments.entity,OutboxEvent,39,29,0,0,12,12,8,5,8,5
payments-service,com.example.shop.payments.entity,TransactionLog,34,29,0,0,14,12,10,4,10,4
payments-service,com.example.shop.payments.entity,InboxMessage,37,29,0,0,12,12,8,5,8,5
payments-service,com.example.shop.payments.entity,Account,17,23,0,0,4,10,3,4,3,4
payments-service,com.example.shop.payments.controller,AccountController,33,0,0,0,8,0,4,0,4,0
payments-service,com.example.shop.payments,PaymentsServiceApp,8,0,0,0,3,0,2,0,2,0
payments-service,com.example.shop.payments.config,KafkaConfig,77,0,0,0,17,0,5,0,5,0
